title,subject,year_group,key_stage,unit,learning_objective,oak_url
Reading and responding to 'The Three Billy Goats Gruff',English,Year 1,ks1,,I can listen to and discuss a traditional tale.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/reading-and-responding-to-the-three-billy-goats-gruff
Reading and responding to the story 'The Three Little Pigs',English,Year 1,ks1,,I can listen to and discuss a traditional tale.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-little-pigs-reading-and-writing/lessons/reading-and-responding-to-the-story-the-three-little-pigs
Retelling 'Jack and the Beanstalk' and using a story mountain,English,Year 1,ks1,,I can plan a story using a story mountain.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/retelling-jack-and-the-beanstalk-and-using-a-story-mountain
Retelling a story,English,Year 1,ks1,,I can speak in full sentences to retell the story of Humpty Dumpty.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-and-listening/lessons/retelling-a-story
Sequencing and making a story mountain for 'Wild',English,Year 1,ks1,,You can create your own story mountain to retell a story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/wild-reading-and-writing/lessons/sequencing-and-making-a-story-mountain-for-wild
Sequencing and making a story mountain: 'The Magic Porridge Pot',English,Year 1,ks1,,I can sequence a story and use it to retell.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-magic-porridge-pot-reading-and-writing/lessons/sequencing-and-making-a-story-mountain-the-magic-porridge-pot
Sequencing and making a story mountain: 'The Three Billy Goats Gruff',English,Year 1,ks1,,I can sequence a story and use it to retell.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/sequencing-and-making-a-story-mountain-the-three-billy-goats-gruff
Sequencing and retelling 'The Three Little Pigs' using a story mountain,English,Year 1,ks1,,I can put a story in order on a story mountain and use it to retell the story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-little-pigs-reading-and-writing/lessons/sequencing-and-retelling-the-three-little-pigs-using-a-story-mountain
Sequencing events in a recount,English,Year 1,ks1,,I can sequence events of a trip and add in fronted adverbials of time.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/school-trip-writing-a-recount/lessons/sequencing-events-in-a-recount
Sharing our opinions about a text,English,Year 1,ks1,,I can share my opinion about a familiar story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-loud-and-proud/lessons/sharing-our-opinions-about-a-text
Standing to speak in 'show and tell',English,Year 1,ks1,,I can speak loudly and clearly in 'show and tell'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-loud-and-proud/lessons/standing-to-speak-in-show-and-tell
Statements and questions,English,Year 1,ks1,,I can recognise the difference between a statement and a question.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/statements-and-questions
The theme of belonging in 'Wild',English,Year 1,ks1,,"You can describe how a character is feeling at different points in the story, 'Wild'.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/wild-reading-and-writing/lessons/the-theme-of-belonging-in-wild
The theme of community in 'A Superhero Like You',English,Year 1,ks1,,I can listen and respond to a story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/the-theme-of-community-in-a-superhero-like-you
The theme of happiness in 'Anna Hibiscus' Song',English,Year 1,ks1,,I can link a story to my own feelings and experiences.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/the-theme-of-happiness-in-anna-hibiscus-song
The theme of identity,English,Year 1,ks1,,"I can discuss the theme of identity, linking to my own experiences and what has been read.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/the-theme-of-identity
"The theme of resilience in 'Ada Twist, Scientist'",English,Year 1,ks1,,"I can describe how a character is feeling at different points in the story ""Ada Twist, Scientist"".",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/ada-twist-scientist-reading-and-writing/lessons/the-theme-of-resilience-in-ada-twist-scientist
The theme of responsibility in 'Lulu Gets a Cat',English,Year 1,ks1,,I can write about something I am responsible for.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/the-theme-of-responsibility-in-lulu-gets-a-cat
Thinking from Lulu's perspective and asking questions,English,Year 1,ks1,,I can think from characters’ perspectives and ask characters questions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/thinking-from-lulus-perspective-and-asking-questions
Thinking from Paddington and Floella Benjamin's perspectives,English,Year 1,ks1,,I can think from another person or character's perspective.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/thinking-from-paddington-and-floella-benjamins-perspectives
Thinking from different perspectives in 'The Three Little Pigs',English,Year 1,ks1,,I can think from a character’s perspective to understand their feelings and actions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-little-pigs-reading-and-writing/lessons/thinking-from-different-perspectives-in-the-three-little-pigs
Thinking from different perspectives: 'Jack and the Beanstalk',English,Year 1,ks1,,I can think from the perspective of different characters.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/thinking-from-different-perspectives-jack-and-the-beanstalk
Thinking from the character's perspective in 'Anna Hibiscus' Song',English,Year 1,ks1,,I can think from someone else's perspective.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/thinking-from-the-characters-perspective-in-anna-hibiscus-song
Thinking from the girl's perspective in 'Wild',English,Year 1,ks1,,You can retell the story 'Wild' from the girl's perspective.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/wild-reading-and-writing/lessons/thinking-from-the-girls-perspective-in-wild
Using descriptive language to describe yourself,English,Year 1,ks1,,I can write descriptive sentences to describe my appearance and personality.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/ada-twist-scientist-reading-and-writing/lessons/using-descriptive-language-to-describe-yourself
"Using evidence from 'Ada Twist, Scientist' to write a character description",English,Year 1,ks1,,I can write descriptive sentences about the main character of a story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/ada-twist-scientist-reading-and-writing/lessons/using-evidence-from-ada-twist-scientist-to-write-a-character-description
Using non-fiction texts to recall and learn facts,English,Year 1,ks1,,I can listen and respond to a non-fiction text about looking after cats.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/using-non-fiction-texts-to-recall-and-learn-facts
Using question prompts to plan a recount,English,Year 1,ks1,,I can answer questions about a trip and add descriptive language.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/school-trip-writing-a-recount/lessons/using-question-prompts-to-plan-a-recount
Verbs: doing and being verbs,English,Year 1,ks1,,I can identify the difference between a doing and a being verb.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/verbs-doing-and-being-verbs
Verbs: doing verbs,English,Year 1,ks1,,I can define and identify a verb.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/verbs-doing-verbs
What is a recount?,English,Year 1,ks1,,I can name some features of a recount.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/school-trip-writing-a-recount/lessons/what-is-a-recount
Writing a character description of Paddington,English,Year 1,ks1,,I can use adjectives to describe Paddington's personality and appearance.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/writing-a-character-description-of-paddington
Writing a postcard from Paddington listing places and feelings,English,Year 1,ks1,,"I can write a postcard from Paddington’s perspective, including a list of places and his feelings.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/writing-a-postcard-from-paddington-listing-places-and-feelings
Writing a postcard with descriptions and questions,English,Year 1,ks1,,"I can write a postcard from Paddington's perspective, including descriptions and questions.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/writing-a-postcard-with-descriptions-and-questions
"Writing about characters, setting and plot: 'The Three Billy Goats Gruff'",English,Year 1,ks1,,I can write part of a story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/writing-about-characters-setting-and-plot-the-three-billy-goats-gruff
Writing about your future job,English,Year 1,ks1,,I can write about what I want to be when I grow up.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/writing-about-your-future-job
Writing an information report with commands,English,Year 1,ks1,,"I can write an information page, including commands.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/writing-an-information-report-with-commands
Writing captions about people who help us,English,Year 1,ks1,,I can name and write captions for people who help us in the community.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/writing-captions-about-people-who-help-us
